Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL
104,N6MVT,443.475000,+,5.000000,Tone,114.8,88.5,023,NN,FM,5.00,,,,,,
105,N6QOP,443.475000,+,5.000000,Tone,100.0,88.5,023,NN,FM,5.00,,,,,,
106,K6GWE,443.525000,+,5.000000,Tone,82.5,88.5,023,NN,FM,5.00,,,,,,
107,K6JJC,443.825000,+,5.000000,Tone,136.5,88.5,023,NN,FM,5.00,,,,,,
108,KG6TN/E,443.925000,+,5.000000,Tone,136.5,88.5,023,NN,FM,5.00,,,,,,
109,WW6BAY,443.975000,+,5.000000,Tone,100.0,88.5,023,NN,FM,5.00,,,,,,
110,KE6PTT,444.000000,+,5.000000,Tone,100.0,88.5,023,NN,FM,5.00,,,,,,
111,W6RGG,444.200000,+,5.000000,Tone,107.2,88.5,023,NN,FM,5.00,,,,,,
112,WB6TCS,444.250000,+,5.000000,Tone,100.0,88.5,023,NN,FM,5.00,,,,,,
113,WD6EZC,444.275000,+,5.000000,Tone,82.5,88.5,023,NN,FM,5.00,,,,,,
114,N6YJ,444.450000,+,5.000000,Tone,107.2,88.5,023,NN,FM,5.00,,,,,,
115,K6MPN,444.500000,+,5.000000,Tone,100.0,88.5,023,NN,FM,5.00,,,,,,
116,W6PW,444.225000,+,5.000000,DTCS,88.5,88.5,664,NN,FM,5.00,,,,,,
117,W6YOP,444.775000,+,5.000000,Tone,127.3,88.5,023,NN,FM,5.00,,,,,,
118,K6KYA,444.850000,+,5.000000,Tone,114.8,88.5,023,NN,FM,5.00,,,,,,
119,KB6LCS,444.925000,+,5.000000,Tone,136.5,88.5,023,NN,FM,5.00,,,,,,
120,K6DDR,442.875000,+,5.000000,Tone,100.0,88.5,023,NN,FM,5.00,,,,,,
121,KK6BSN,443.825000,+,5.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
122,K6QLF,444.575000,+,5.000000,Tone,88.5,88.5,023,NN,FM,5.00,,,,,,
123,W6MTF,441.425000,+,5.000000,Tone,156.7,88.5,023,NN,FM,5.00,,,,,,
124,N6TZE,440.025000,+,5.000000,Tone,114.8,88.5,023,NN,FM,5.00,,,,,,
125,W6YYY,440.037500,+,5.000000,Tone,100.0,88.5,023,NN,FM,5.00,,,,,,
126,K6GOD,440.175000,+,5.000000,Tone,156.7,88.5,023,NN,FM,5.00,,,,,,
